0153A7AB 00B52719
00ABE94A 0058F44F
008AD117 0073F912
010CC654 00C17CF7
01474E8F 0138A03C
010CDD29 01E71174
01983F67 00ACE456
0214A894 063A1EE9
010FF337 009D3F5F
00493522 013095D7
00082AFE 00BA1DAB
0193DC5C 00E7CBBC
0085EF17 009BFB5A
02E6E17F 010B9577
00D66719 02531C39
02F4C6EC 00D43939
0067B9F7 013E41CA
01474914 010D7C10
010CCD1C 020E1389
016B258E 00B15719
00529C3E 0041AD6F
013DAB41 01228720
03DD4D75 00B13F48
04120667 011FB06B
0008FB89 00A411BE
0038C8FC 0275D0F5
0090736B 02317209
0094AC16 00ACA214
01514E81 01094038
010CFE60 03730F19
00715354 004AF9BC
0074DE20 0064BF19
004117CB 0250CD52
01116993 011A406E
011CED8C 0176B58E
00A1DB2B 00600F25
0006930C 0090824C
000790E2 00C537E7
00E43D66 0542DF2E
014F2444 00489AE7
023D3E6A 0041EDD6
0006BA65 0160AC0D
00219585 01D3DE4F
0049A9B8 006DD0B8
003CE689 036E6382
00C289A2 0211FC7C
02537680 005F40AC
0051E5C9 00C9B95C
01C06F67 005FB6CE
010D86EC 01060345
002C1910 01A26DC1
001A589B 0008E574
00C4D29E 00B38E53
02402E7B 00E84713
00A0BA9C 001062E2
007CAB98 00A10C41
005658F0 02524ADF
016965E0 002A7BFD
0375FB5E 010C967A
010BD0D4 01DE0FDF
003194D7 00F404B7
01D05501 00500FBE
010468AC 00466475
01878E6B 0201164E
012A0C04 00019F12
001B45D1 01E82ACC
00C78814 000D30AE
00312CD9 0239FB7C
00436080 0082C6DB
00806144 00C57759
000A0332 0009CB78
005416BF 0042D49A
00C483CC 008C6CFD
00DC5B3D 002489E7
002C1285 01E53BF9
00005F9C 0030CC3C
00FD4A8C 010797DB
01BE762C 032405F9
024699D4 009E7D14
02886842 00CA4D7F
000A3E48 00B9498B
00D06A96 00FBC0C3
0052A1D0 018030AC
013D2C12 001E4188
00554D35 005AAC3D
03EE6D2A 01270F71
00D65E81 0043AC55
036AAADA 001FF582
006685C9 004D7E1F
00E4B70D 003CE6E6
0025CBC1 0007A380
00F30DE7 0065356D
020E1DA9 00203894
01344CE7 01265A12
0217B843 0080D42D
0001CB64 002E8946
0015D632 03B23E46
00942974 01389B0E
015B06BA 011A91C6
000A0662 0032E725
005B8F6B 034AB471
014E5CBE 0133B666
00CD109E 015804B1
01BED0F3 027ACDC1
035D6BA4 001165EF
002D2366 01873C8C
03CC256B 01C8B0C8
005F2175 00423A51
005D29C4 007E97E1
00446AEA 01BD5837
006D40D7 0069926B
00CEC8D8 0013DF3A
000363BC 00C0C19F
01C2AC81 00477912
00225AB1 00BD060C
00B387BB 0000F810
01A97D62 00C7BDAB
016E0137 005FDC48
012C4C02 0020C003
002545E0 004EAB95
01543DD3 04B8C62B
0059B54F 00183E2F
01A38F57 0278A301
00C420BD 01830403
00987E91 009E3312
00FC6A4E 00552297
0063034E 00CEAB3D
00B42D26 00BBA50C
02595FB2 0073B971
0064896A 00FDAA0F
004C90C7 0043A66D
001BB7D2 032DA237
0096A38B 00A12655
00B417A8 0077EBD1
01370499 001F6F0C
009771FF 0195BC4E
00390266 03D13BE9
00A1C766 003B30AE
02942F95 01F1F06A
0040690F 00561304
00535985 027CE885
00859229 00847366
011BB4D0 010F825B
014E0DE6 00DE6C8A
006041F0 01107C7B
00A0F8C0 003426F2
004111D7 00241962
020E64D4 00E3587A
0160C691 004D7A25
031840F5 005B34E3
0112B89C 007391F5
0035FA56 0062E148
003157CE 01871C54
003465DF 003BEBAB
007F9D8F 01A9A148
009B0552 03178E6B
00051497 002B9536
000A5DCE 000CE231
004E4809 0009A67C
01A2C165 0171D946
02385173 001D8C80
02195821 033BFE1E
003B3D5B 000CD7A8
01C6FAF2 02D434A0
00965B81 0057C873
017BC06C 0207A04B
0014A50F 00C597E3
0049DA2D 000866AE
00C8A62C 00A4C077
01C2C1F3 01E76352
0276A7C3 002AB2AA
007CEF36 0229BA08
0066C4E3 003EC2AE
01AFCE9F 01C5ED06
001DB738 005EA26A
002A1ABF 012F2853
01ECD749 01A002D1
0000B112 00497267
0224D402 00171216
008A2B48 01516031
00EA30E7 003175AB
00960BCE 014CC880
00200714 0112987F
0130DA25 00BFCE64
037D8203 0004E5DD
0426F7CF 00E366F3
0457BDBF 015A13E2
01040596 0005F8FD
018BDA78 01BD0CB7
003E33C0 006A032A
0043BB92 02314449
0075F426 020A1EEF
00003C7F 014CE31E
00793AC7 00CBDA6E
01FD3BFC 002C6FAE
00607455 008EA4DE
03AD711D 0055939C
00B0E2F4 0099DB22
009ED8D3 00A2A24C
012F6B7F 005995D9
0045D0EF 0010AA3F
001F4001 02BF69FE
0039E5C0 051E4F5B
0119667B 00D12B99
004C0EEC 002454B1
00F90160 00337FE8
00612A8B 01041AEC
00BB9C0B 0039B766
0010DCF8 00FD82BD
00A310E2 00D8032D
02A7A6B2 02643707
00FF7880 0094EFCC
00756066 00502ADE
00209622 00B53829
0020E0AD 000E06AE
01F31622 00558FDD
00E84C10 00C6CA74
0010BE76 01E7C2FF
010F00AA 0061597A
01262C64 0037A0C9
0086835D 005AAB40
0112A771 001CD331
0014D58C 01A792C6
01589328 04F4938F
009EF5CA 00049256
006CA96E 0094116E
0098583A 03E5308B
00286F3B 0131F128
02B64DDC 0031A0D3
00A6B29C 01154C6E
016C2E07 000A50EB
007ADE06 013F59E0
005FBC27 00F47A4D
00D7D306 02A3AF30
02420D53 00856232
0117B286 005F07C1
00CE2D23 01C22BAD
0055113B 00283C47
00780F85 006F2BA7
04C4FA99 000FA1D6
00366182 00109C58
00E1D7A6 00283708
0153D526 0118A9C5
0031E51E 0094F485
00E6FC46 007B5264
01386D6B 0028998F
00E33F37 00E299C4
02A4026B 027C97D0
001CD836 0272EA3B
000FF4C9 00278D04
01656332 0004DE8B
03FC7E53 00D01227
001C8ED4 00185DAD
01E3D17F 0109DB96
00FC20C4 000228F8
00E93A04 0135878C
0079CE62 00641447
00A47407 006CA2FE
03FC89D2 01D46AB6
0068FBBF 0200F353
00951FDA 009B6EC0
005B9E41 027665A5
0250BCE0 002264AB
0142300C 0084230E
01303D36 01ECB48C
00170E73 00439AC8
013664E4 003347D4
00343EB3 000C9705
0141B4E2 0147C077
01AAE8AD 00D84FFF
0139E1E4 0077FEF4
008C224E 00F1A744
00610FE5 000E9C6A
0091698E 00F0E2EE
0132FF34 00DE7765
0201CFB1 01040F95
003FBB94 01356288
01F317C7 00545AEF
00E54F0B 01C4F66F
004EDA7F 0126D3D4
02AD80BA 006CB7D9
005ED482 014F1974
0093A2C7 00732115
005718FA 00303EB1
02FE2311 00316D4F
0179A800 02102A69
010A4762 0187E47B
000D62E0 01876827
0050EDC5 004D9BD0
010CF420 0198A57A
00DD6B74 0005190A
00EAAEB0 010241D4
000D6D70 000A12C6
01102A65 0053CDB0
000868EA 00EE7C8E
001B63A9 0080207D
00AA99C1 005239D7
00D2B2FD 00AEABED
03C93FE0 02B672F4
009945AC 019E9297
009B12C4 00026F53
0119914B 0006645E
00F16C03 00B04BE4
00CFC473 00EC9231
00257348 00836B86
017B7697 048FBAB7
00C8FEEE 0072070B
004742AA 00C3A8DB
009316B8 01C1B7CA
000AAAA3 0061CEB4
00F21B20 00099B79
002E98E3 0097B62D
00061A00 02E1CA12
005E716A 025AD149
00A045E7 00B9B872
02004B56 00E02B81
00D293E4 003F54C4
01C72C6C 01CC04A2
00AC1B78 01893FC1
006B911C 0148E4A9
009F05D0 0107F232
02D531F1 0135C160
0026C765 017BB6AB
028C30C4 0072EE9D
01E3D38E 013D71DB
01E535CA 01224EEA
007256B8 015FD79B
0006F047 000C7E47
003E3B76 02012F60
0251262E 01913B2D
00E96CBB 00AAF4AE
0216F642 013747EB
00B6818F 029BF2E5
00A8082E 043CBAAC
00A22F09 010B70AC
016CC99D 000130D8
02A2977E 00FD7625
00975992 006EACD4
0057108E 00FD3747
00048B03 01AACBDD
00929E78 01F33639
0300DE5A 00765C83
008C375E 0032114C
00418A73 003B9EC1
00108919 0000DF02
0014FE78 00461D03
0316CBF5 017611D3
01050F19 011964FF
01F3D2A3 00B88FC4
0001F273 00288950
00EC23D8 034ADE7B
02C60488 0095C6C5
001565BB 001F66D7
001F6D9D 028BE5C7
009E03FB 01C06866
0011EF69 002533BC
0071BF7A 005519CF
01240D2E 02E3B523
00C86DF2 01EA5D32
00490B50 0047BA05
0078C8BC 005DA073
00071D3E 01BDB7B9
000E4992 021B0799
029F95E8 007A77A6
008BFBF3 022F5E4B
01B769E0 015BD026
00D1EAAD 00B9296A
0170DC50 008CED98
004AA784 015AECFE
004822DF 024A63AF
045D27EC 013CC47A
00CD396F 007340C2
00A774E7 008740BF
022D78FD 00693E28
01B31EBC 01CE2B9A
01BE44F3 00D17083
006DFEE5 00BFB2CC
00845639 01257F82
007010E7 00F21DED
00408D61 00CD5065
01539493 00FDF721
00656371 00BBFB32
053833DB 002F80A4
019BEA2C 02A3DA76
01326CA6 01D6870C
00E60FC0 02C97582
00979D6B 0046B483
0017A147 008B9D9F
00A0F490 016A8A82
02F47435 0015B5F0
025BF3D9 00BEAEF6
00430362 0058872A
00478174 00256954
00333C74 00670DE5
001011F2 00042435
0056C572 02B52A67
007151E8 0036F3C8
00735E67 00D25DAF
0123F725 0582AE47
0080396B 001E1847
059C02FA 02C257E9
02689B3F 005BDDC3
03E4DA6F 00913C21
007572A6 00C35CE9
00223F14 014855E9
00BA69E8 010F0F42
0061B93A 00F299EF
01C7A2ED 01A74732
00F62DFA 004F85DA
015521F7 00C97816
0109F71B 000D7E6B
004AF1E1 004B40B4
0065DA62 00C8B89A
0088D401 01C9D245
0036E4B1 00353303
00E2112B 011BC7D9
0057A269 005F8AE1
001693F1 01A9C3D2
0079C7E5 003DB299
02581C2A 00DCDA8E
008F9814 018FFBCD
00A8E750 02A5AA2C
00A87F67 002E7A33
00FC6A25 010134BC
0011662F 0266E313
00005CDD 024B8DB9
0136CBD3 01B9A9A3
0114F958 00FB1716
01769021 009D9BC3
0061FF8B 001259C8
017C7B60 00EDF391
01060CA3 03380287
00149DD8 02DFC5EC
0053B6CF 014F27F9
008B3AC0 0137BD7A
025CA5B0 00BD8766
0115B84A 00161836
00019562 007D0324
003CB3AA 007EC900
000E0BE3 001F5346
00313BC7 00CCD75A
009E49DC 00B56716
001A2F1C 017EA465
004EFCCE 00D81EE0
039DA8E3 00134B7D
00A75718 008D4BA6
00514C90 002983E8
01639688 0080FCD0
00152259 00E49003
00EEFB22 00E71B11
002F7033 00B4B8E3
017F14B5 00CFC76B
024A593A 0018E543
01B7B5EB 00060EA3
0065E3A8 0235447B
0025B124 019E9758
025D0A30 008A366B
02439838 0251BB69
00252FAA 007EC06D
00F1E05A 014AC5D7
00A5F755 007AE216
01622AA0 004642DE
0181B1D2 01441C6A
0304739B 013659C3
026249C0 01473CD4
004072AD 00990500
002F6970 001E0171
000C0548 00C23EBB
0107F294 006D0827
0277AE01 013DE737
00479D26 0006E92F
00295FE3 01B536A1
02FFDDB0 00681222
011841F4 03053DB6
00A459BA 01025B2C
00C526FE 021B15A2
007CF84B 00E226E1
00574A94 010BA43B
00D47909 00D9B58D
00700702 017281D4
00EE0FE6 01D3B284
00D8FF85 002675D9
0071B4EF 003B1113
00F413C2 004C0F1A
0389FB5C 00BC729A
00275830 006CCCA1
00D5377F 00DC137A
00342F91 019A0694
0094602E 0021015C
00084CCB 008E50DA
001C4953 012C3A39
003BF143 0017795A
01DDA1C4 00863950
00537B1E 00193572
00BF21B0 005E6DE8
007863BB 032AB012
002E22F3 0037EC70
00B8637E 0285050C
0014F910 013A292E
00BC5BD7 0032321D
000D6817 0068AEAE
0017DB0F 00117672
0006E0B0 00549D5F
01E22467 0011F95E
0022BC64 00101DA7
008784C5 01B13556
014E3CD0 00014A32
0271BA4A 001F4216
01A525C2 007740CA
027ACBE0 009D305C
004C198E 03887F16
049F2325 00174687
0349861F 0235B73B
008E06AA 000880BB
007548B8 004852A7
033FC2DF 00AD1D77
00A69439 0038B304
01A03CED 018DCFA0
003F067E 003F26CE
0070DCB8 000A24BB
03C6EF7E 011BA21B
000CF18B 018FBE46
0127AE80 004E5183
00CC63A2 0102A26A
0089DAFF 01DBCA72
008324B7 01196040
0017D992 00FD3FAE
05813148 0124779A
0239EF88 000E2D5B
00E802AD 0079E956
0391D493 0028A2F9
006F3F71 014F52C8
008C9A17 0129F983
013E8FC2 007A5B44
01E15B70 02694E65
001B37A3 0067E27D
00D6FB32 008D3254
02BCBB4F 003350BD
0189CCC3 006D389B
004413F2 000D57B5
01E2299E 0097520F
0059CBC0 03A8D080
00204272 01DCF257
00E02778 002AAFB1
005F214E 0020DCEB
014C33C0 04E2C7B4
02145C75 000245AE
0042B16F 00DD3C1D
00421696 00B77C15
01346085 0037C3CB
03A02ADE 0384A353
006DD3DE 0062B864
02B8CB08 025EF20F
041B19FC 000317AB
01E633A0 00F9B48C
01795905 007CDB7F
0036FFCB 005A5F07
013ADACB 00871144
00A13C84 0108A62E
00409F0A 011E972C
00B24693 01BAF556
019339E4 01932B25
00F768A0 019715CD
00EDD258 0359002C
00BAA77C 002D0535
0022800B 039445DB
00554F75 00179437
003F0C5E 00D46ACF
00BAD66F 00485EB5
0078A61B 009E31D5
00222F97 000E53C1
01E3F8E0 01C22C69
00E85D4F 01F732A9
0101033E 038403D0
0146FA9D 01CD1E9F
00D92542 0029384A
01B220AD 00CF66E6
00C0D273 001D442C
00E76F1C 00316350
00B13533 003ABFA6
0079264C 006DC2C0
016026E7 026C3D1E
00501A29 010B3D76
00C628A4 000D3776
008EFCF1 028D00D7
00E0D419 0109F571
022641FC 0032C03C
008ECE92 009297C5
001879CF 0323BAF8
002524F4 02384883
015B24BA 00A8580E
00165D31 03B06217
00277A63 000C0663
0044A9F2 027A31B7
01C8EE66 00B81B43
008E2AD1 00573C22
007E9E0A 008DA1E2
0016A06C 01784356
0010CF6B 0037CF91
000193D4 008EF05E
01041B1D 00AB5BDF
0256B2A5 0001BAA9
001CF203 00126198
033F3690 00D6F087
01BD70BF 0211FA2B
00618C92 0242ACCD
0118EF38 00C3218B
00EDED90 005F0537
02800C4A 06B1C785
00B6937F 008B82CC
01B1B1E9 0055F8C9
006FDE7C 00C57B81
01581E2D 0069620C
0189D3DE 0006E403
02C5B949 0011759D
031C898D 005B2E7F
016D26DC 00B7A08F
0015BD30 0067294A
007F8B96 0012FF33
00E67D51 021C6D29
0159E643 006D4097
009E5962 00255BB9
002473F5 01A9D6E2
004D4F4E 0003A966
0009DC84 00195131
04658BBC 00ED0849
001403E9 0152E9F8
000C7EFD 0002B0EC
01329B81 00A9BD1C
014E55E6 001F3950
01696EC8 00CE6F82
0094938B 01C03B56
0007AE4E 005469F0
0041F78C 0038FB7E
005CBCD7 002E5E72
00AAFC70 00474632
00132377 000BB099
0051FD5C 00AF6EE9
00D811D3 008E0E7E
010D8E03 00433C94
025FAA48 02619E26
000B3E4D 00B38E17
007517A6 0035A239
007353F5 0002A182
000A6F97 000844BE
03F88196 0020DDC1
0023EEB6 0193B229
01984F65 000E4E54
0089ACB0 00277E62
004A9AEF 0200C72D
0012D72F 009EA30E
01AE1348 006A9D00
00C1BFCC 00179CD3
026990C5 01721254
001293E2 00CC36E0
00F66C59 01A3AE4D
002FBB80 018590ED
0021D5E1 001C54A1
01090EC9 004DE7C5
00A62C1C 00FE061D
0069C6EB 00A9B818
019C6F31 01839C6D
01AEA347 02AFA97A
00084352 0319F625
00D95BAF 000AA328
0030E155 010C28CD
004E1CDC 016D194E
02BD894C 00BAD5AB
00F61F24 021A12FF
001D80F0 0112A023
0014A094 008EB104
002E4662 015855F8
020E941C 00D1B2AC
004781A6 00DD63C1
01CF7C71 00027BFC
006935AC 01254738
01D89A7B 025A4686
00DB9592 000EC83A
00DDFEE2 0238DBC6
02904176 000372B0
00456FC3 006EA4C2
00072B29 0139E9A2
01E138D3 020BE3B3
01A0398C 01194BAB
013414E1 005ABF6C
003BE8BD 024C492A
0099A725 00D5D59F
005F5759 006828C1
007E6485 0152D5E7
009815B7 00310AD7
042E82FA 012EC7A6
00B6E011 013FC10E
0143C5D0 00CCD714
002818A6 00115D03
002B1E0E 005278B4
011C4F5C 00585BF3
014C7AC5 0034BF61
00A0F76E 0041CF5C
005326BF 007D646E
000B0F91 01DF7293
00A7D48A 00E64536
012E6272 0220964C
0082DE1E 00478802
028C4906 008BC46D
01255296 01308DEE
0049015D 0113D7B1
0002166F 013DD119
01577A96 001A8819
0184078C 04E4A050
005F3E46 0128C8B3
02F38A29 014EA67D
00D7AA7E 0009244A
0200813C 00B1D14D
018BD8D8 00138144
00909A3C 00C8CF13
00B22A1C 0040E62D
017B1130 0147474D
01AEB6EB 0298590E
00866275 00D2DD68
01C9EC57 00AFCE01
0023F23A 000E817B
00C2C5B7 00CFC0B8
0025CD72 0245D95B
0061F994 01125FDD
00561D51 00888C5A
00514307 004147A7
00F64C5E 00441AAF
01BC8146 006874FD
002BAE52 019BAF9E
000E97F3 00224807
002F2B64 00314DB6
01D87CB0 006E69CC
01ACEF7A 003C1C9B
004B1021 0031EC10
00866400 005E80C8
023A5F33 003A0A40
000DE49D 0257BB59
01EE0415 015A96D0
0069C9E9 012E9435
007E4969 0191ACC2
0232ED05 0050A6B4
0152E911 009D2BCF
0071F0BB 024D615D
014A3AF8 01C69FAA
0020AFCE 015D310F
001535A4 00A903E9
00C96249 0019FA39
03186AFC 00677649
011C9F3E 018655B3
02087EB1 00667BAB
002E551B 00A5B4FB
0062721F 00248B68
00A45981 010E086F
0052B528 020EBF83
00892EE8 0016DC27
00B28532 00863A3B
00077BCD 00BE27DA
006D7551 00246EBB
001AE214 004DFE40
0038F2F4 0052A60C
00AE6C27 00D003FB
02269FCE 01D6E3FC
00A8327F 003A710D
01059E36 010EFB6B
0221F7A4 000BAB2F
006D5477 016D3B78
00D5F237 0190ECCC
00E3A551 0038B923
008CBE58 0047D1BE
00ADEA65 013D7A05
003219C1 006A3B39
020542C7 026F7A48
00CEA39F 01BD4892
0156E336 00CBF177
00238CA3 02D7C208
005D3C94 005BA773
01168234 02FD6CB6
0035C5BE 0019CD8F
01B180AF 01808581
018468E1 00136CA2
005C89FC 0020CEF7
009E6AEA 02263229
00344F1B 006C565D
01750CCC 00B29354
00B97721 0011711C
012274EA 029A5990
009BF7E6 00FA4D6B
0078A16F 005DB7EF
00236C04 0049B2B9
00340E60 035B9D7C
00551CBA 00813986
00BD8752 02C0DA33
002E2663 00657E25
01F368C5 002F6C48
00313857 0005192E
017E47F4 00B0256E
0008A5C8 012C543B
0004B6F3 00203AB3
00994ED3 00BF3945
0050C622 0100BFD0
02DC7960 011BAEA4
00F5ACA9 00A0BF03
01F46E69 003734E0
03DB6F73 0005DBDC
0216AD00 032C4D96
01B7BE7C 00598CB6
0181D84D 00DA7D08
00D04D45 0414359F
0398B28D 001F6616
003200AE 00034949
00360208 0116EBC6
004FDD4D 01B138DD
0159B55C 02167D5E
000888AF 00378A3F
01F36B96 020B6E48
005FCEFE 00F97C9C
00CA8B79 00146A6D
00246A9F 00003C8C
00BFAA38 0007D663
0133AB91 01339EAB
00DBB8BD 014D33B0
00213690 001E667C
00232E6D 004C1491
000B4C5E 009B9433
00C18217 0039C7CC
00AD9859 00624A26
007B6F99 01D0271D
01D27FA9 01C2F987
03362272 00486E99
0072F31C 008D180E
033EFCDD 0057216B
01344312 02446F50
00E5823B 00B75DD8
00572D81 00F32222
001E59A1 0014D379
00FF3259 00E4B99A
0105B90E 013F605A
00DB52FB 005876BE
010B2CE0 02898667
01BA71B8 02FDE9B5
0016D3B9 0264B66D
01D00A3B 00004187
01C00636 000BD073
0076C531 003A5078
0044D305 01A2A2B0
002D760D 026432BA
016D49C2 013BC1E9
00A63C26 00BF3A43
0095BC31 016BECE8
01839923 0051EF7D
00D8F29A 003ED1B1
002587BC 00BCA22F
009C4002 005D0CE3
01341CD8 01134235
0152F20E 0073FEAC
015E7AEC 00830761
018DF2A7 015D37EF
007615A4 0122BF62
00750ADA 00154924
001C9695 00131877
0043E1F3 00401764
003A3B04 00379273
010102C9 01280214
0A833F29 00720DB3
00E76201 00AA1F08
01006CDE 00A852DC
07D4B439 00A6DA98
00CDCA13 01A63DC3
0034A040 00117373
01651133 0211082F
01418884 01EE093D
00AF6CD0 002417AE
00ADD087 008B6B84
00D0385A 003EC1CC
0015EAC0 0012EA9D
007E7C8D 000C4EE4
00C1D806 00114588
0057394B 020BBC2E
0007864D 002B3B54
0033F4E4 00840B97
01D76659 024872D2
003B3638 00EC7D76
049DD4FF 00A35A12
028C4157 01349E6C
00F65757 01F4D577
00E20B06 00EB1023
00891715 003DECBC
02B2A77C 001E9551
0030219C 003AD9C1
009A7629 000805A1
01321714 00BEFEFD
0077E735 0006E6FD
023836A5 0023093F
00723108 000F6C80
00650462 01C2946C
016ECE0F 0044E935
015E7D3E 01FDC2BA
00801A0D 004C277A
01CB34E0 005A4C2D
0134EF3E 02E238AB
013176FC 0008F2A8
011681E4 0083EE1D
00276CDE 0075A04B
00AE27B3 01886503
01458A1C 0048B7B0
01CB285D 00A9B61E
01DC2C41 009622E5
00A7F20B 003D19DC
007BA602 00151900
00FDD86F 00027635
0157E048 0007F7C1
00E51EC4 01ABFB04
00E7E09B 01B835DE
000A95F7 00A51598
00B027D7 01F40835
002A80AA 0002C9A7
00BC2502 004398F0
01F33690 00FFF595
005DD763 00BAEF2B
00402243 000639DD
03769266 001AA6C9
004E22B1 01095EC3
00442665 02916AFB
012958C2 01059B26
006BA647 000C9462
00333A71 004880EB
0152DE3E 002B4C47
03F06163 0099E09D
0040946B 000D6D96
015028B8 00EB60B7
0009B97B 01E31048
01951933 007CF665
00E8D9FC 001FB29C
00CB01AA 02AECF2A
00E69D3D 00F8DF31
016FE74D 0048D878
005517A0 00041E2A
027572D5 01A35C0A
0244EF89 02992483
00900D0A 0038F54E
0027FB91 009AC53F
020ADCC7 003B7A92
