01B4 1014
08C6 537F
01E9 08A5
184E 1756
0FB2 18EB
0456 21BE
0E43 03D7
0682 1834
11DA 0DB2
0655 3665
01DD 07C8
0680 16A7
107A 0B02
23A6 1173
744D 1967
09B6 1A97
0019 0034
0296 2987
11F9 0BCC
070D 0045
0971 0D86
0BA6 02AA
1742 1471
0B51 0794
1894 07CA
02D2 134F
01F5 0E17
0576 37F9
033C 078F
0190 28FB
06E0 0D59
1C36 0799
00D6 12D8
026B 01D0
21EF 0CCF
0680 0564
03F6 0386
0112 24D8
08AC 0087
0567 0AFB
072D 2DB0
1153 173E
0872 08DE
1A9A 0672
1352 026A
0365 023C
02C8 0091
0682 09AA
23E3 1419
0700 2201
0319 11D3
0EB5 0949
064C 0EBC
463F 0053
199A 00FB
01DD 1EE8
05A6 06EC
0AE4 0341
05E8 081A
003F 01BA
0B90 38B2
153A 0945
24F0 0243
0918 1159
3058 0F0A
6652 0E51
0274 0A5F
056A 0405
04B3 00B7
0BD0 0629
0456 0B76
0666 1304
2538 2C77
18F6 15AC
1C98 1BD2
0E21 1B3F
0680 1070
211E 006F
25E7 3789
0D8C 1AF6
016D 0106
0FBA 0B78
3D2A 123F
4DAC 0884
03BD 00AD
39DC 068B
040C 00E4
0186 0E19
0E66 058E
026F 0B49
3E27 06F3
096D 016B
04D6 00B2
28EE 066F
0368 00A6
1010 0C94
261E 1913
0857 318B
0CED 094A
099A 134E
0988 0A9D
0D51 05EF
04D0 0ACC
2AD3 3212
38D5 0613
118B 1B01
1210 0831
1CC4 20FB
06CA 061E
1643 036F
26CB 149F
0796 20DF
0F9E 0BF2
038C 05F8
169C 00E1
013C 1EFC
1067 1061
0A3C 04BC
1333 0E7A
03E3 0486
12B6 1219
0E5D 12C6
0B1A 1003
1D63 0D56
3000 11B8
18A1 0004
0431 057C
0BD7 0534
01E2 0294
1017 02FD
246D 0047
027D 0163
0063 01B9
1B85 0D9E
474D 2C0B
1002 2CCF
0756 1919
032C 0296
0A17 090F
0E1D 0F7D
21D6 0A66
0ABB 132A
0678 0E19
05CD 0A1A
0914 12B4
0A2C 0F8A
0706 187C
007A 321B
0117 0A48
1BB3 09A2
001E 03E5
0C2B 0750
01E8 08DA
0675 292F
03CF 0459
0F66 04D2
054E 1D64
0C69 124E
16F7 03CB
0400 0E95
02D0 2E98
04DB 0F41
0068 0546
1ED2 08D1
2246 0690
06E7 0951
08A9 1FEF
2544 0D77
1095 01E9
0B9B 0188
03DD 0CD4
03BE 2143
1750 4378
077D 39F5
11C8 0434
0203 1071
05AC 0191
22EF 19A6
0007 0B97
0318 0063
02FF 0EAC
1BD2 08D8
0103 13FF
053E 0285
1927 1536
0083 0876
0586 2CD3
0D90 3010
0793 0D00
1753 01E5
0862 0E31
0C48 006F
03F9 16D6
098F 0F74
0315 03C7
0083 26C4
06E4 25F7
1700 0D83
171B 112F
1963 0DDE
2E18 1F43
020F 045E
0F73 0183
0334 0095
1336 1348
04DF 0B56
01E9 02E4
0008 0565
13F7 2098
09FA 010D
02AE 01DD
102D 01AD
0C22 0029
1CEA 0512
0321 13D3
0146 018D
23AC 0174
13AA 0431
16F3 097C
0881 0E8B
0BC2 073F
18FF 0926
2331 28D4
084B 0D1F
011C 3727
06B9 0287
0BB6 2518
10B4 0E3B
18E1 0832
1272 05CF
06DF 01C4
016E 09B0
1296 067B
1923 060F
015B 2DB6
2134 08F9
0AF7 0946
11E9 08E3
097E 0089
1587 07A8
096B 17BC
0B7E 0AF1
1423 1AD4
15FC 09F0
1022 092A
0879 057E
0CBD 07ED
0FB1 21D8
060A 0253
0FCD 00AA
0320 079D
0BEA 02AD
3660 200D
0DC8 13C9
0410 1678
006B 1680
5F7E 1DE7
02EF 0DF8
0E23 09E2
117B 24BA
016E 0599
173E 225F
0F3A 06F8
4F49 36DD
07DD 03BE
204B 00DA
08EA 033E
3AA2 09C4
0211 0928
0CC2 02A5
05CC 0462
12F9 0984
1049 057B
0242 051D
0DA5 0916
21B0 1F40
0ABE 01C1
05EB 1E39
0471 153A
0324 4AA6
0000 1980
0221 0022
11BB 0977
169B 1085
20B1 09D9
133C 319C
1422 1684
0CCD 2777
2F21 11F4
0F70 0AE1
1C90 231C
1776 0120
06F8 07CC
1B23 0B59
0DFD 1212
1288 044B
0E45 01C2
1BED 47FF
0328 0B19
0025 0230
04F8 1760
01E5 0A8B
0E94 0601
1172 01CE
0318 1173
1C42 02D1
21A6 0F36
0934 22A1
4457 07AF
05B2 23EC
0647 0874
1453 17B2
0D0F 004B
030D 0DE8
0A3A 2F35
0AE8 0C5A
051F 02DB
02BD 067E
07CB 0008
1723 00C4
07C8 2A9A
0AD7 183F
0EE4 1A20
01F4 109D
165C 027E
0CA7 1C1F
0933 0D31
04CA 004C
24FB 1CAE
1D8C 109B
0F82 0008
0C56 0BDE
001D 099C
0027 0DED
2981 0616
0409 018E
07C8 0396
09E6 0599
03CF 2B39
03B9 1B40
0513 1598
0103 0186
0A52 203D
1928 05C7
0AAF 0090
00A3 37EF
28DA 1C89
0F99 0979
0174 1F70
0E4B 261C
100A 071D
018E 21C6
0C62 0457
0417 0212
3434 03CD
014D 0395
06BB 0AAA
0459 02D9
2763 0567
109A 1E7F
270C 1A9C
19F6 1568
063A 0DA7
0B26 0089
1423 0D9F
1D0B 024B
13A1 00B5
06DB 049F
0E0E 021F
32D3 101F
0181 0B70
0661 12FD
16DF 2478
0F4E 04D5
06AB 087D
170B 0039
0A37 0F11
1291 2038
0346 1E0D
08D2 01EF
4511 1668
1B0F 172C
0A54 074E
142E 0E9C
3266 0325
2D2D 0AE5
13D7 13A6
047F 17AF
0CA9 0D27
10DB 04E2
1FE1 16B4
0205 0485
023E 0922
032B 1182
2C3A 111E
193C 01CB
1060 20D5
0F3F 038E
0F4F 01AA
16FF 2AB8
30A1 253F
01AE 0351
301B 0FFE
1174 1AA7
0021 11E5
25D9 0B24
00DE 0813
02B7 09B5
131C 00CF
0B90 00B7
2561 0273
1B9A 0DC7
0AF7 04CB
22CD 049B
073F 0219
1469 06BD
43F7 0E27
0CDE 0953
232B 21A7
0755 0821
13A2 241F
0E59 0F32
15A9 0078
1126 0297
007A 2D7C
0395 08D4
0803 1597
262D 10EC
0F9E 3504
0499 0350
0705 09A8
06A0 006F
07AE 49B7
0152 21FA
21F2 1AA3
0EA2 05FD
00F2 0CF4
1AAB 48B1
28F8 1773
0548 1050
2B6B 0C67
052A 06C9
02BC 0962
0C7B 0E78
0237 01AF
0311 0D2E
2B52 21DC
00C1 06E7
09DF 4B44
0B83 0496
0C05 071A
0AC6 001E
04DE 16FA
1103 180A
07FE 0444
2007 0411
1651 1C6B
0720 11C4
1C4E 0824
0382 0D64
207C 0F4E
0520 0314
2552 01CB
029D 20D1
1037 1628
0C81 0864
0F04 0645
1153 0969
037C 1468
1C75 28EE
070B 0208
1E94 27D7
03D8 077E
2B80 108A
171F 04B0
238D 13C9
0A0A 1126
051B 0413
0D0E 39A2
0AF9 0315
0C04 0144
0B92 0966
01B4 0234
143E 03D1
1844 0B23
09AD 0B63
15D9 0CAB
091A 16B6
0A1C 07BA
05D2 05F8
02AA 31E3
0F13 297F
0753 036F
00E7 0335
0738 042F
0491 0ABC
0C31 0A1B
02E6 0222
2A0E 2C72
2EA3 0C09
09A0 1033
198C 0389
0F10 038B
177A 0A58
048A 002F
0C1F 061D
2155 0F5F
10E6 138E
019C 4740
0412 00A7
00ED 0FC8
0960 0E20
18BF 0000
037D 0301
0B17 0807
0E74 029C
0E68 0E35
6875 0564
0785 0EE7
1DCD 1C3D
0E9D 0388
015C 0104
07BC 03A4
007B 08B3
106F 094A
0290 1E0F
15C1 155B
09D8 0059
2077 1C58
0B59 046E
2A47 0930
001B 088C
08C1 0E52
0237 07CB
0310 04B7
005A 20CE
10BB 0947
07B8 081C
00E9 00B7
02EB 0A84
039D 0E70
062E 1F98
18EA 0702
1727 3ABE
02FD 2CD9
18FE 147D
1737 0A31
07E1 1AC3
009D 16F6
0700 07ED
0A0A 06F8
0554 18A9
063B 1AC2
0595 074F
1B2F 1A1D
02A8 081C
0084 0174
2D73 234C
2005 23F0
0406 0851
1116 0305
237D 0BDD
0D88 00F8
0FDC 1EB3
042A 06AC
01E4 0786
078A 0377
0D8E 10BE
15B5 01AD
0ABE 09C5
101B 0501
1DAA 0D5F
039A 0B14
0726 16DD
03B0 000C
03C4 0178
051D 0C35
161F 0618
4D5D 1060
2479 1C0B
0C87 2E95
09A2 0557
00CD 03F5
0E54 4EF3
046B 06DA
1A6A 0121
0984 0778
329C 09F0
0B27 05DD
0930 0F49
02EB 361C
24EF 33DD
1518 0156
0434 18EA
4B8F 0187
1418 0A4A
35EA 08D6
2849 3502
004D 0693
149B 13B7
2030 11B4
0D59 1109
06B1 017F
04AB 07ED
158F 2ADF
2F85 17EA
1F98 05A9
1DA1 00DD
03FD 2154
3C64 19FF
167E 11E7
02F8 0052
12C5 04B0
083A 030F
3934 0C15
043E 06DE
064E 08A7
0615 17B7
170A 072E
1127 017F
07C8 044F
1A45 07EF
2800 0F4B
0616 05CD
0D2E 0DC9
0945 02EA
0BD5 01D4
034F 04C9
015E 2E2D
05DA 08D2
1B93 10A5
05B8 0E7A
0213 0B32
23D0 1281
088D 003A
10F5 0175
10EE 227B
080E 0501
0832 22A4
00B9 1928
0B3A 0C46
065F 0063
267D 163B
0986 1ACA
0654 0228
043E 1394
0BD3 12B6
0267 0DB9
2DD0 5799
0C99 057A
0975 10F0
1ABF 133B
1D6C 29C2
036A 0174
0FC8 2C9D
01F7 1C07
0D70 08F2
1241 0822
2A92 0207
1293 09D3
02FE 13B1
0D0A 0398
08CA 0729
04C6 009D
123B 1CAD
142C 0A33
006D 0804
0C8A 556D
0A8D 1ABF
04E0 2041
0991 02CE
24F8 165A
0A64 018A
06CE 07FB
03F3 1116
2941 068B
007E 0A7A
2706 0659
0C13 1C54
01E5 0068
2863 00DE
17A9 252D
111D 2C5D
0587 0F4D
2E8B 0EAE
081F 152A
012F 07BF
003E 0516
0CA9 09DC
0D7E 1EAC
29F7 2027
0B8F 0240
13BC 0C8E
065F 2088
0240 0B9B
0AD9 0330
180B 0093
14B1 0234
04A9 01A3
11B7 101B
0A9F 01DA
05D3 1921
07B0 0AAB
03D4 0B96
1F46 0783
2F8E 093D
0D55 05F4
02BC 01A0
009D 1F04
1825 03FD
245F 0CFF
05B7 0209
010A 131D
0197 00F3
0739 0911
2460 0707
092A 09EE
02D9 449F
0D9F 1B83
0C8B 1882
00FE 0352
02D5 055E
039C 0B82
2849 1B5C
1BF0 03B9
0C54 00FB
0348 0101
29AC 0452
00A2 177D
00F0 1666
092B 0EF6
28D8 0023
053C 0165
09AB 19E7
05FE 0050
3272 12E8
08F4 2623
2C28 0008
09DC 000C
0653 0082
2636 152B
087A 192B
03EB 04D0
04F7 1A93
11DC 18F8
01B1 0248
2B8C 16F4
0F5F 0955
0E0D 0441
17FF 0779
0D67 14B0
0097 2435
01D8 265B
1205 0A3D
001B 0152
031C 0260
131A 01DC
06A5 060C
021D 033A
0F15 1312
0CC4 009E
13D3 4663
04CE 0C62
0BE3 0F4F
14C4 15D1
019C 0270
0093 1052
02F6 0ECC
444D 0C1D
15B3 03F6
2FBD 3346
000D 0815
0C85 0610
104A 0C27
0373 1F8A
00C0 22D6
09AC 13E6
0558 220C
05BD 1558
03BD 05A6
0CD8 1DD7
0E98 0BC9
2E42 0004
19BC 16F5
172E 0BA5
1755 01DC
06CE 0A2E
066F 0279
0BC6 09FB
0E2E 0830
275B 0446
1BA7 1FD2
003E 11EC
0301 0D77
31FB 127D
0088 20A0
0B9B 10B0
1730 0F62
0445 1E39
06F5 073D
0C06 04D8
032D 01F0
5825 079F
014A 0201
02CE 0716
0854 0136
0A8B 0614
11B4 0282
0BE1 19F7
2703 1C90
041C 03A8
1C76 0646
15A4 0547
039C 0A2D
0D07 0524
0FF9 2818
053F 0FB9
306D 0C7E
010D 2155
1BCF 1686
02B2 13B0
0A34 62A7
0D41 0B28
0A7C 18C3
1AF4 0C7E
0445 1217
012B 0043
0C9C 1AAC
2045 1157
2D47 0CE4
045D 0177
3121 00C8
10C6 0C28
34E0 010A
0C37 01FC
140C 0676
28CF 0CF0
163F 065A
207F 0075
231C 2842
1D62 0884
09E4 051A
09F7 14A9
0186 05FA
0D8B 2771
12A2 0029
04C3 0800
09F8 23BD
04A4 03D8
0C93 0396
2B8A 00D5
0888 07B2
118A 07FE
04F6 2FF0
04B8 053C
081A 2A11
0FDA 06BD
2BEC 06E2
0BF1 028A
43F6 00E3
0047 0810
025C 0116
001F 05EB
0D96 039C
222E 01EF
2314 07AC
1C57 10AC
0690 0A4B
07E8 1004
0C25 0705
15B1 2042
0760 021F
0722 099F
0756 2BE0
0269 01A8
0A8F 0BC6
1D59 1AA1
1963 0521
358A 1003
183E 2DEA
1061 1D09
33BE 02A2
011B 1899
25FF 113B
0FA1 021D
0B1B 0781
0B1A 1450
17F5 0B86
42D4 078C
0BB8 1DD6
0547 0174
0316 2133
00B4 026B
01E4 132A
04B2 046E
2B38 0A20
008A 05F9
0EF7 1C27
0444 01B2
1173 1135
11C7 0181
08F0 03FA
0D23 10FF
0284 0AFA
0376 0949
068E 09F8
0428 0D5A
0928 50A2
1220 0434
0435 550C
0741 0F37
460B 1329
080C 2225
1884 02D8
18BF 108A
22DF 1CCF
23FA 01E7
093E 1897
40A1 057D
03D9 0D89
1694 020A
030D 013C
0258 04B8
07D0 03DA
0CAC 1E4C
0C16 2546
19F4 0FA1
0401 0512
019A 1887
0001 00C3
08E5 13CA
0188 11AF
2AE7 0D46
0B67 0EAF
1E29 135C
0DE9 0704
0288 21B6
1880 1061
0DD4 00B2
059E 0980
051D 0A70
09B1 07A3
32C5 05A8
130B 11D0
0F9B 0214
0CAF 094A
0059 1375
0891 00DC
1DFB 13D4
101F 0F79
0E77 021C
0289 0336
08DA 311B
0C18 00A0
05C0 14C4
0FC8 0315
1190 0408
094E 07F3
1297 03FA
1474 202A
079C 08BA
110D 0237
0767 1BE2
0BBA 0A6D
0B53 01FE
07DC 077E
1272 259D
1319 06BF
054C 0663
1169 0A6C
2CC6 0BEE
022B 0729
000A 05E8
0D3B 0165
02CE 09D6
17FA 09A4
15A7 0342
10F5 1FE4
0E28 23C8
145A 05CD
0E0F 09B9
0CB7 193A
0AF4 02FE
069E 1856
631A 0435
4C69 104D
1512 00C4
0E38 0CFE
1B80 06D2
01AD 003E
0DCD 0F84
3BE8 0141
095C 0239
071F 03B8
04E1 0865
0313 095A
4551 068E
1131 04C8
123F 0FE9
02CB 05C3
02A6 0AD6
0908 0E65
0588 0A07
0CA2 04F5
0A56 0226
01E7 0807
1944 02E0
01A3 04CC
0558 0018
004F 01A2
00BE 0170
0A3C 122A
42FC 0DA2
0B30 03D7
1B63 1283
0A7A 040B
0280 25DF
01C3 1D46
04FC 027D
06BF 0881
12A5 1A4E
0C21 030B
0870 11AF
18B8 08B8
0122 08BC
0E92 0A5E
1288 40D1
03A5 0E16
01C5 1524
10A5 0977
2134 0EE4
09A4 070F
09BF 0173
02DE 04D0
1659 0D76
1134 0C13
05E9 2323
177F 1445
0395 02AC
0C92 096D
19D1 06E5
0052 0136
0C62 112E
341C 3060
0562 0552
0945 0A5E
01E7 1154
0226 0956
28F0 155E
1371 1783
00C7 0433
032B 1AE3
228A 041C
1B35 00E1
1EC3 03E8
02E2 104A
0D51 1E69
028B 0328
0DDD 081C
019E 0AB2
1A2B 0041
008B 03D0
2282 0131
052B 0347
11DF 0A71
0E56 03DF
0545 04B0
0744 0BD3
108A 0BC3
038B 0EF9
0763 1EA0
1FB5 0D29
1515 2336
5464 0184
141A 1BF9
0838 0897
1903 06E0
10BB 01DF
0A30 0C1F
0663 2A99
0366 0055
005E 1C81
041B 03F3
1A60 010E
0912 0AC2
043C 022E
18E0 0EA7
0039 0669
0DE8 29B6
0492 0E03
07F7 148C
0090 16F4
0B31 0DF9
0114 0FE0
0076 1B29
0F46 0339
0FF2 1220
0CDB 55A3
074C 0053
0B62 0241
0A26 25A1
038F 0721
15C3 008A
0CCB 0139
0CFB 01E9
0305 1427
1F1A 02D4
08AF 148B
2E9A 277C
0069 0A6A
00DA 00E0
29F3 028C
01DC 0991
2175 0D15
4775 03D6
0D4D 1E04
006C 0BDA
0F16 0349
0946 0733
1A59 0556
2641 0CCE
3E91 078D
1610 0119
2629 1071
0C9A 0229
1243 0317
2711 07FB
18D4 4F15
176A 070A
1AA7 06AB
0365 0123
0141 2931
0D1D 015D
2222 0228
2737 0C40
06EC 0089
04D9 0CE9
04D9 1EA2
1503 0B59
20A8 09FC
0500 3D70
01F1 0C6A
06CF 1745
0D8C 0B6A
14BF 32A1
1EF9 1DDE
0F21 1E94
1715 465C
2B84 0D3A
12E9 01BD
07D8 3B5F
0FE7 0D03
0ED3 1467
0427 137E
0302 0298
0046 2B1A
023A 0E3C
0565 2E95
455B 0744
3A3D 04A3
0FC3 082C
0B5A 0D0C
0098 2ECA
1586 0529
0CD6 1C3D
179E 09A4
15F5 2EB7
130B 0FFD
1D52 0AB7
0024 0083
0EF3 1E1C
3201 029E
0969 0575
1479 0BBF
15B0 110D
29CF 021B
0406 0DDA
0E09 0B4E
1A6E 066E
2B8E 0380
12A6 0E4B
03BB 4801
00CB 46D4
072A 0409
11B1 042E
1E5E 065C
2614 03C3
184D 082A
0E87 05BF
023B 0EB3
06AE 0C53
07C3 00F2
0748 0653
0089 0D8B
0212 1AC9
082D 05E4
10E5 0F18
003E 1C25
0844 1087
161B 06E0
0400 131A
29F1 0EC0
117A 03D0
09B7 0700
0054 143D
02BC 11BD
1C71 1B62
0452 039C
010D 061C
1375 3511
07BD 0E64
2683 109F
13F7 21B1
08BC 030E
07E0 00EA
0DD4 05B1
0810 1970
1189 2637
1388 00C2
0CED 0625
13E6 0A3B
1503 0F01
2499 1E32
05DF 00B5
1056 0150
0F57 11E3
049F 0562
141A 181F
0330 0BB2
09AF 1468
04D4 075C
1665 0FCF
3192 01B8
1CFA 04DB
4EAB 0227
00B4 076A
06AF 315F
0474 057A
330C 0339
1173 0C83
2FE3 0350
3266 1FF7
05E0 1BF3
0335 0455
23DD 1724
223A 0328
027F 060B
090D 1C9F
0172 00B9
08E2 12FE
0A17 0DB2
0979 136B
000B 2B4A
09F9 1B4E
022A 0E87
122F 00C3
0E97 0E8F
0586 0C56
07A4 02AE
064D 0196
0786 0981
081E 15A9
0037 1BB2
22DB 0120
021A 01A0
0B18 12C4
092B 0FB6
1780 03FC
16C9 0592
04B3 08FE
0DFE 0DC1
00CE 1720
01B5 0176
1379 1FA3
0B2A 21B3
090E 04E6
0D41 2793
0788 230B
0935 01DA
071A 05FE
1367 1201
2041 31A4
06B6 1A6E
3307 0D2C
16AC 0592
1839 07C6
0089 00C5
03DA 0E30
098B 0547
1814 1E6C
0F48 22F8
16BD 01D8
0577 0C93
039A 1AF9
033B 1FE5
1110 1EFA
0C65 21A1
0C39 0578
0E79 0C76
02F8 0B07
030F 18B3
093C 0B5B
0575 6683
02F5 0FBF
12CB 0E05
23FA 1836
0550 1EF9
140F 0B43
16C9 060F
09BF 0D3F
16B0 11FA
07C4 1C08
0FB4 034B
008D 0014
0899 1330
2BEC 1261
36E5 06B6
24A6 0517
1523 102D
0147 1A22
1B8F 035A
5614 0601
091C 1626
027A 168B
0763 0381
19B1 0E70
0CDA 0DA0
112D 0EA3
1DD5 0DEE
0643 0843
024F 0322
2F2D 03D0
0794 0CD5
0618 04FF
05D0 09AC
1AAA 0E43
2D0A 0C78
155B 0BC3
01D5 0340
2A49 01D0
1068 043A
0380 01D2
0908 0252
0F54 0509
2369 33DD
1BF4 00FE
0481 0724
1926 0CBC
17F9 0138
075B 32E3
0345 154E
113B 1E69
2DAF 129E
11B2 1842
011B 232E
18C0 0282
1747 1CE2
0114 0742
1958 147A
311A 1DD7
1373 0C84
3713 0BBE
1E47 131D
07B9 161A
0CAA 0372
430A 04FF
1838 08DA
0E31 03EF
291E 109F
2C1D 13D8
1443 4081
1284 070E
0ECE 0B5A
0761 2D0A
0A4A 3960
1852 05AC
0008 0972
0842 05AA
0FD8 15D0
0D72 1C75
0207 0393
00CF 28C1
0527 14CA
0F8A 1954
030D 03BB
0E68 1046
088A 0859
192B 0062
0AD4 2628
00B9 08CB
1402 006B
121C 0774
00FA 1673
0A60 1FA9
1467 03EB
026A 0A11
0793 0CF4
01DB 159C
11F6 0344
03A9 0D0B
11D6 00A5
0534 0176
04B6 07E0
1B99 4868
1AEA 01B0
105C 1635
1469 0A5C
04A1 07F6
1CC7 073C
127D 1575
081D 1B0F
1F2C 44FD
0689 46DF
118A 1095
0250 0E16
0058 0744
1101 1DE2
047D 0533
14D1 0B47
08A8 0A00
00BD 05BC
15F9 06E7
06A5 116A
16D9 02E9
0163 0014
0AA2 0162
0ABE 0B6A
0574 2169
06E4 091B
0718 204B
00B6 0415
08D6 01F4
04D0 008F
1008 06EB
02E0 1063
14EC 2155
025B 2B7B
1370 239A
20EB 0632
2306 0413
0480 2447
0339 0220
276D 0273
2067 1F5C
0AE0 0CB9
022D 0A4B
1499 1254
0519 0ED5
0861 07E7
1F51 2488
0C30 00ED
0B91 057F
07C9 1ACC
00CE 2B8D
1684 0B7B
032F 0F7C
20DC 048B
0216 01B0
02A8 1054
173F 05B5
0261 04EE
01EB 0E82
07DD 2BE0
094F 0377
0B78 05AD
095D 1059
0599 2161
1703 02EB
0C1E 01C4
0D33 030F
0B9D 033A
216A 1E15
2F11 02CC
5584 0A94
0E0A 04A6
095E 0730
1077 1B27
0560 064C
3791 2054
0EBB 1B53
0451 201F
090D 0F6C
2E02 130B
0273 098E
0A9B 047C
02EF 3A1E
0AAC 0B0F
5438 385F
2577 0FC7
0318 0F1B
0A1B 1B8A
0206 056A
0687 0AE2
0B09 0048
1A1A 1C8B
05CF 06A9
0B59 0DB5
1A9A 0CFD
2938 6D75
11C4 09BB
